Number of tracking points : 15668
Max speed : 103(old) -> 103(new)
Damage : 0(old) -> 0(new)
Total Time taken old tracking file : 12:51:49
Total Time taken new tracking file : 12:51:49

 | No    | X                      | Y                        | Heading    | Speed      | Damage | Date and Time                                  | 
 | 91    | 138573.7 -> 138573.7   | 79889.48 -> 79889.48     | 55 -> 55   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:42:28 PM -> 12/7/2020 7:57:58 PM   | 
 | 93    | 138573.7 -> 138573.7   | 79889.48 -> 79889.48     | 55 -> 55   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:42:30 PM -> 12/7/2020 7:58:00 PM   | 
 | 95    | 138573.7 -> 138573.7   | 79889.49 -> 79889.49     | 55 -> 55   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:42:32 PM -> 12/7/2020 7:58:02 PM   | 
 | 97    | 138573.7 -> 138573.7   | 79889.49 -> 79889.49     | 55 -> 55   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:42:34 PM -> 12/7/2020 7:58:04 PM   | 
 | 99    | 138573.7 -> 138573.7   | 79889.49 -> 79889.49     | 55 -> 55   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:42:36 PM -> 12/7/2020 7:58:06 PM   | 
 | 101   | 138573.7 -> 138573.7   | 79889.49 -> 79889.49     | 55 -> 55   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:42:38 PM -> 12/7/2020 7:58:08 PM   | 
 | 103   | 138573.7 -> 138573.7   | 79889.49 -> 79889.49     | 55 -> 55   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:42:40 PM -> 12/7/2020 7:58:10 PM   | 
 | 105   | 138573.7 -> 138573.7   | 79889.49 -> 79889.49     | 55 -> 55   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:42:42 PM -> 12/7/2020 7:58:12 PM   | 
 | 107   | 138573.7 -> 138573.7   | 79889.49 -> 79889.49     | 55 -> 55   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:42:44 PM -> 12/7/2020 7:58:14 PM   | 
 | 109   | 138573.7 -> 138573.7   | 79889.49 -> 79889.49     | 55 -> 55   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:42:46 PM -> 12/7/2020 7:58:16 PM   | 
 | 111   | 138573.7 -> 138573.7   | 79889.49 -> 79889.49     | 55 -> 55   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:42:48 PM -> 12/7/2020 7:58:18 PM   | 
 | 113   | 138573.7 -> 138573.7   | 79889.49 -> 79889.49     | 55 -> 55   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:42:50 PM -> 12/7/2020 7:58:20 PM   | 
 | 115   | 138573.7 -> 138573.7   | 79889.49 -> 79889.49     | 55 -> 55   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:42:52 PM -> 12/7/2020 7:58:22 PM   | 
 | 117   | 138573.8 -> 138573.8   | 79889.77 -> 79889.77     | 55 -> 55   | 1 -> 1     | 0 -> 0 | 12/5/2020 7:42:54 PM -> 12/7/2020 7:58:24 PM   | 
 | 119   | 138574 -> 138574       | 79890.53 -> 79890.53     | 55 -> 55   | 1 -> 1     | 0 -> 0 | 12/5/2020 7:42:56 PM -> 12/7/2020 7:58:26 PM   | 
 | 121   | 138574.3 -> 138574.3   | 79891.17 -> 79891.17     | 55 -> 55   | 1 -> 1     | 0 -> 0 | 12/5/2020 7:42:58 PM -> 12/7/2020 7:58:28 PM   | 
 | 123   | 138574.4 -> 138574.4   | 79891.67 -> 79891.67     | 55 -> 55   | 1 -> 1     | 0 -> 0 | 12/5/2020 7:43:00 PM -> 12/7/2020 7:58:30 PM   | 
 | 125   | 138575.5 -> 138575.5   | 79898.16 -> 79898.16     | 51 -> 51   | 22 -> 22   | 0 -> 0 | 12/5/2020 7:43:02 PM -> 12/7/2020 7:58:32 PM   | 
 | 127   | 138567 -> 138567       | 79908.74 -> 79908.74     | 33 -> 33   | 25 -> 25   | 0 -> 0 | 12/5/2020 7:43:04 PM -> 12/7/2020 7:58:34 PM   | 
 | 129   | 138554.3 -> 138554.3   | 79910.06 -> 79910.06     | 25 -> 25   | 20 -> 20   | 0 -> 0 | 12/5/2020 7:43:06 PM -> 12/7/2020 7:58:36 PM   | 
 | 131   | 138540.1 -> 138540.1   | 79911.8 -> 79911.8       | 31 -> 31   | 33 -> 33   | 0 -> 0 | 12/5/2020 7:43:08 PM -> 12/7/2020 7:58:38 PM   | 
 | 133   | 138535.1 -> 138535.1   | 79932.8 -> 79932.8       | 51 -> 51   | 43 -> 43   | 0 -> 0 | 12/5/2020 7:43:10 PM -> 12/7/2020 7:58:40 PM   | 
 | 135   | 138539.3 -> 138539.3   | 79959.19 -> 79959.19     | 54 -> 54   | 53 -> 53   | 0 -> 0 | 12/5/2020 7:43:12 PM -> 12/7/2020 7:58:42 PM   | 
 | 137   | 138550 -> 138550       | 79988.02 -> 79988.02     | 57 -> 57   | 59 -> 59   | 0 -> 0 | 12/5/2020 7:43:14 PM -> 12/7/2020 7:58:44 PM   | 
 | 139   | 138563.1 -> 138563.1   | 80013.91 -> 80013.91     | 55 -> 55   | 49 -> 49   | 0 -> 0 | 12/5/2020 7:43:16 PM -> 12/7/2020 7:58:46 PM   | 
 | 141   | 138554.5 -> 138554.5   | 80038.36 -> 80038.36     | 37 -> 37   | 54 -> 54   | 0 -> 0 | 12/5/2020 7:43:18 PM -> 12/7/2020 7:58:48 PM   | 
 | 143   | 138524.9 -> 138524.9   | 80057.23 -> 80057.23     | 35 -> 35   | 65 -> 65   | 0 -> 0 | 12/5/2020 7:43:20 PM -> 12/7/2020 7:58:50 PM   | 
 | 145   | 138492.5 -> 138492.5   | 80078.48 -> 80078.48     | 33 -> 33   | 72 -> 72   | 0 -> 0 | 12/5/2020 7:43:22 PM -> 12/7/2020 7:58:52 PM   | 
 | 147   | 138455.4 -> 138455.4   | 80092.46 -> 80092.46     | 29 -> 29   | 80 -> 80   | 0 -> 0 | 12/5/2020 7:43:24 PM -> 12/7/2020 7:58:54 PM   | 
 | 149   | 138406.1 -> 138406.1   | 80105.59 -> 80105.59     | 29 -> 29   | 84 -> 84   | 0 -> 0 | 12/5/2020 7:43:26 PM -> 12/7/2020 7:58:56 PM   | 
 | 151   | 138365.6 -> 138365.6   | 80114.27 -> 80114.27     | 28 -> 28   | 82 -> 82   | 0 -> 0 | 12/5/2020 7:43:28 PM -> 12/7/2020 7:58:58 PM   | 
 | 153   | 138318 -> 138318       | 80125.86 -> 80125.86     | 29 -> 29   | 79 -> 79   | 0 -> 0 | 12/5/2020 7:43:30 PM -> 12/7/2020 7:59:00 PM   | 
 | 155   | 138277.3 -> 138277.3   | 80132.09 -> 80132.09     | 26 -> 26   | 76 -> 76   | 0 -> 0 | 12/5/2020 7:43:32 PM -> 12/7/2020 7:59:02 PM   | 
 | 157   | 138238.1 -> 138238.1   | 80128.27 -> 80128.27     | 23 -> 23   | 73 -> 73   | 0 -> 0 | 12/5/2020 7:43:34 PM -> 12/7/2020 7:59:04 PM   | 
 | 159   | 138198 -> 138198       | 80122.18 -> 80122.18     | 23 -> 23   | 70 -> 70   | 0 -> 0 | 12/5/2020 7:43:36 PM -> 12/7/2020 7:59:06 PM   | 
 | 161   | 138157.2 -> 138157.2   | 80117.2 -> 80117.2       | 23 -> 23   | 67 -> 67   | 0 -> 0 | 12/5/2020 7:43:38 PM -> 12/7/2020 7:59:08 PM   | 
 | 163   | 138120.3 -> 138120.3   | 80116.82 -> 80116.82     | 26 -> 26   | 64 -> 64   | 0 -> 0 | 12/5/2020 7:43:40 PM -> 12/7/2020 7:59:10 PM   | 
 | 165   | 138086.8 -> 138086.8   | 80121.35 -> 80121.35     | 27 -> 27   | 62 -> 62   | 0 -> 0 | 12/5/2020 7:43:42 PM -> 12/7/2020 7:59:12 PM   | 
 | 167   | 138051.2 -> 138051.2   | 80125.12 -> 80125.12     | 27 -> 27   | 59 -> 59   | 0 -> 0 | 12/5/2020 7:43:44 PM -> 12/7/2020 7:59:14 PM   | 
 | 169   | 138019.3 -> 138019.3   | 80128.1 -> 80128.1       | 27 -> 27   | 60 -> 60   | 0 -> 0 | 12/5/2020 7:43:46 PM -> 12/7/2020 7:59:16 PM   | 
 | 171   | 137986 -> 137986       | 80131.85 -> 80131.85     | 27 -> 27   | 59 -> 59   | 0 -> 0 | 12/5/2020 7:43:48 PM -> 12/7/2020 7:59:18 PM   | 
 | 173   | 137952.4 -> 137952.4   | 80137.12 -> 80137.12     | 28 -> 28   | 60 -> 60   | 0 -> 0 | 12/5/2020 7:43:50 PM -> 12/7/2020 7:59:20 PM   | 
 | 175   | 137920.3 -> 137920.3   | 80143.48 -> 80143.48     | 29 -> 29   | 60 -> 60   | 0 -> 0 | 12/5/2020 7:43:52 PM -> 12/7/2020 7:59:22 PM   | 
 | 177   | 137887.2 -> 137887.2   | 80152.09 -> 80152.09     | 29 -> 29   | 59 -> 59   | 0 -> 0 | 12/5/2020 7:43:54 PM -> 12/7/2020 7:59:24 PM   | 
 | 179   | 137855.2 -> 137855.2   | 80162.3 -> 80162.3       | 30 -> 30   | 59 -> 59   | 0 -> 0 | 12/5/2020 7:43:56 PM -> 12/7/2020 7:59:26 PM   | 
 | 181   | 137824.3 -> 137824.3   | 80168.56 -> 80168.56     | 27 -> 27   | 59 -> 59   | 0 -> 0 | 12/5/2020 7:43:58 PM -> 12/7/2020 7:59:28 PM   | 
 | 183   | 137796.3 -> 137796.3   | 80163.7 -> 80163.7       | 17 -> 17   | 47 -> 47   | 0 -> 0 | 12/5/2020 7:44:00 PM -> 12/7/2020 7:59:30 PM   | 
 | 185   | 137776.2 -> 137776.2   | 80142.2 -> 80142.2       | 12 -> 12   | 51 -> 51   | 0 -> 0 | 12/5/2020 7:44:02 PM -> 12/7/2020 7:59:32 PM   | 
 | 187   | 137750.8 -> 137750.8   | 80129.34 -> 80129.34     | 22 -> 22   | 60 -> 60   | 0 -> 0 | 12/5/2020 7:44:04 PM -> 12/7/2020 7:59:34 PM   | 
 | 189   | 137719 -> 137719       | 80127.51 -> 80127.51     | 29 -> 29   | 58 -> 58   | 0 -> 0 | 12/5/2020 7:44:06 PM -> 12/7/2020 7:59:36 PM   | 
 | 191   | 137689.7 -> 137689.7   | 80143.57 -> 80143.57     | 31 -> 31   | 56 -> 56   | 0 -> 0 | 12/5/2020 7:44:08 PM -> 12/7/2020 7:59:38 PM   | 
 | 193   | 137657.3 -> 137657.3   | 80148.26 -> 80148.26     | 24 -> 24   | 60 -> 60   | 0 -> 0 | 12/5/2020 7:44:10 PM -> 12/7/2020 7:59:40 PM   | 
 | 195   | 137624.6 -> 137624.6   | 80143.93 -> 80143.93     | 23 -> 23   | 58 -> 58   | 0 -> 0 | 12/5/2020 7:44:12 PM -> 12/7/2020 7:59:42 PM   | 
