Number of total tracking : 13229
Max speed : 100
Damage : 4
Time Taken : 03:40:28

 | No    | X         | Y          | Distance            | Speed (avg) | Speed (before) | Speed (after) | Heading | 
 | 120   | 19460.2   | 71050.8    | 18.7600909735582    | 65.5        | 68             | 63            | 35      | 
 | 121   | 19445.61  | 71057.95   | 16.2469596953036    | 57.5        | 63             | 52            | 31      | 
 | 122   | 19431.86  | 71061.77   | 14.2746181991479    | 48          | 52             | 44            | 29      | 
 | 123   | 19423.64  | 71064.31   | 8.60246029637073    | 30.5        | 44             | 17            | 30      | 
 | 124   | 19422.28  | 71064.76   | 1.43416839640881    | 8.5         | 17             | 0             | 30      | 
 | 125   | 19422.29  | 71064.76   | 0.005859375         | 0           | 0              | 0             | 30      | 
 | 126   | 19422.29  | 71064.76   | 0                   | 0           | 0              | 0             | 30      | 
 | 127   | 19422.32  | 71064.74   | 0.038472100788266   | 0           | 0              | 0             | 30      | 
 | 128   | 19422.45  | 71064.7    | 0.138437852708354   | -0.5        | 0              | -1            | 30      | 
 | 129   | 19422.75  | 71064.6    | 0.310073587851033   | -1          | -1             | -1            | 30      | 
 | 130   | 19423.19  | 71064.46   | 0.463265440286735   | -1.5        | -1             | -2            | 30      | 
 | 131   | 19423.77  | 71064.27   | 0.615206472581563   | -2.5        | -2             | -3            | 30      | 
 | 132   | 19424.54  | 71064.02   | 0.80912195911776    | -3          | -3             | -3            | 30      | 
 | 133   | 19425.32  | 71063.78   | 0.812333309974508   | -2.5        | -3             | -2            | 30      | 
 | 134   | 19425.41  | 71063.75   | 0.0951234036084838  | -1          | -2             | 0             | 30      | 
 | 135   | 19424.83  | 71063.93   | 0.603540907641947   | 2.5         | 0              | 5             | 30      | 
 | 136   | 19421.69  | 71064.9    | 3.28663991838549    | 10.5        | 5              | 16            | 30      | 
 | 137   | 19416.66  | 71066.38   | 5.24157074485225    | 19          | 16             | 22            | 30      | 
 | 138   | 19409.62  | 71068.38   | 7.31767728715241    | 25          | 22             | 28            | 29      | 
 | 139   | 19401.74  | 71070.57   | 8.18655786116838    | 29.5        | 28             | 31            | 29      | 
 | 140   | 19392.6   | 71073.15   | 9.48973090639462    | 33          | 31             | 35            | 29      | 
 | 141   | 19382.9   | 71076.07   | 10.1372486012774    | 37          | 35             | 39            | 30      | 
 | 142   | 19371.87  | 71079.88   | 11.6633993932513    | 41.5        | 39             | 44            | 30      | 
 | 143   | 19360.47  | 71084.8    | 12.4156848766804    | 43.5        | 44             | 43            | 32      | 
 | 144   | 19350.82  | 71092.2    | 12.169457799138     | 45          | 43             | 47            | 38      | 
 | 145   | 19344.6   | 71104.82   | 14.0673582374069    | 50.5        | 47             | 54            | 45      | 
 | 146   | 19343.64  | 71120.97   | 16.176426107988     | 57.5        | 54             | 61            | 50      | 
 | 147   | 19343.97  | 71138.96   | 17.995179272538     | 64          | 61             | 67            | 51      | 
 | 148   | 19345.13  | 71158.21   | 19.2846937767365    | 68.5        | 67             | 70            | 51      | 
 | 149   | 19346.97  | 71178.02   | 19.8982857622368    | 70          | 70             | 70            | 52      | 
 | 150   | 19350.39  | 71197.58   | 19.8501459342147    | 72.5        | 70             | 75            | 53      | 
 | 151   | 19356.26  | 71219.11   | 22.3168442715032    | 79          | 75             | 83            | 55      | 
 | 152   | 19362.45  | 71242.42   | 24.1216614938245    | 86.5        | 83             | 90            | 54      | 
 | 153   | 19367.29  | 71267.97   | 26.0016503177084    | 93          | 90             | 96            | 52      | 
 | 154   | 19369.72  | 71294.56   | 26.7039787642599    | 97          | 96             | 98            | 51      | 
 | 155   | 19369.49  | 71322.12   | 27.5555870746446    | 98.5        | 98             | 99            | 49      | 
 | 156   | 19368.16  | 71350.39   | 28.3047058964585    | 99.5        | 99             | 100           | 49      | 
 | 157   | 19369.34  | 71377.99   | 27.6267608495651    | 100         | 100            | 100           | 52      | 
 | 158   | 19377.53  | 71405.07   | 28.2883020197121    | 100         | 100            | 100           | 57      | 
 | 159   | 19391.69  | 71430.66   | 29.2410603743504    | 100         | 100            | 100           | 58      | 
 | 160   | 19404.21  | 71456.54   | 28.7559257039665    | 100         | 100            | 100           | 56      | 
 | 161   | 19410.26  | 71484.48   | 28.5920476354577    | 99.5        | 100            | 99            | 53      | 
 | 162   | 19420.08  | 71513.72   | 30.8397019965868    | 99.5        | 99             | 100           | 57      | 
 | 163   | 19439.02  | 71536.42   | 29.5645191237       | 100         | 100            | 100           | 64      | 
 | 164   | 19466.19  | 71550.62   | 30.651252860371     | 100         | 100            | 100           | 70      | 
 | 165   | 19495.32  | 71560.23   | 30.6810179660623    | 99.5        | 100            | 99            | 70      | 
 | 166   | 19525.8   | 71567.27   | 31.2828470559823    | 99.5        | 99             | 100           | 73      | 
 | 167   | 19558.11  | 71568.81   | 32.3397506231485    | 99.5        | 100            | 99            | 76      | 
 | 168   | 19590.05  | 71564.1    | 32.2946669105637    | 99.5        | 99             | 100           | 78      | 
 | 169   | 19621.58  | 71557.66   | 32.1778621132707    | 99.5        | 100            | 99            | 78      | 
 | 170   | 19648.39  | 71550.37   | 27.7801306105332    | 99.5        | 99             | 100           | 80      | 
 | 171   | 19674.64  | 71541.29   | 27.7809737956646    | 99.5        | 100            | 99            | 81      | 
 | 172   | 19700.36  | 71530.77   | 27.7800488378591    | 99          | 99             | 99            | 82      | 
 | 173   | 19725.31  | 71518.57   | 27.780742765072     | 99.5        | 99             | 100           | 84      | 
 | 174   | 19749.13  | 71504.26   | 27.7827790636574    | 100         | 100            | 100           | 85      | 
 | 175   | 19772.94  | 71489.95   | 27.7804294804       | 100         | 100            | 100           | 85      | 
 | 176   | 19793.21  | 71470.95   | 27.7794088605324    | 100         | 100            | 100           | 88      | 
 | 177   | 19810.16  | 71448.95   | 27.7816213576532    | 100         | 100            | 100           | 92      | 
 | 178   | 19822.5   | 71424.05   | 27.7824254339751    | 100         | 100            | 100           | 96      | 
 | 179   | 19829.21  | 71397.09   | 27.7836072713356    | 100         | 100            | 100           | 0       | 
 | 180   | 19835.93  | 71370.13   | 27.7840790997672    | 100         | 100            | 100           | 0       | 
 | 181   | 19832.03  | 71342.63   | 27.7829587258583    | 100         | 100            | 100           | 5       | 
 | 182   | 19821.23  | 71317.02   | 27.7828368000894    | 99.5        | 100            | 99            | 9       | 
 | 183   | 19807.7   | 71292.77   | 27.7774918613554    | 99.5        | 99             | 100           | 9       | 
 | 184   | 19794.17  | 71268.5    | 27.783363424955     | 99.5        | 100            | 99            | 9       | 
 | 185   | 19779.67  | 71244.8    | 27.7808293416945    | 99.5        | 99             | 100           | 8       | 
 | 186   | 19770.14  | 71218.71   | 27.7786620986894    | 99.5        | 100            | 99            | 1       | 
 | 187   | 19767.76  | 71191.03   | 27.7820606778513    | 99.5        | 99             | 100           | 97      | 
 | 188   | 19765.38  | 71163.35   | 27.7820606778513    | 99.5        | 100            | 99            | 97      | 
 | 189   | 19771.03  | 71136.16   | 27.7776940111381    | 99.5        | 99             | 100           | 96      | 
 | 190   | 19777.73  | 71109.2    | 27.781250068656     | 100         | 100            | 100           | 96      | 
 | 191   | 19784.79  | 71082.33   | 27.7794363933869    | 100         | 100            | 100           | 96      | 
 | 192   | 19791.85  | 71055.46   | 27.7789400425519    | 100         | 100            | 100           | 96      | 
 | 193   | 19799.43  | 71028.73   | 27.7806898303032    | 100         | 100            | 100           | 95      | 
 | 194   | 19807.36  | 71002.11   | 27.7790870468153    | 99.5        | 100            | 99            | 95      | 
 | 195   | 19815.75  | 70975.63   | 27.7829133470169    | 99          | 99             | 99            | 95      | 
 | 196   | 19824.88  | 70949.39   | 27.777317382388     | 99.5        | 99             | 100           | 94      | 
 | 197   | 19834.01  | 70923.15   | 27.7840543861241    | 100         | 100            | 100           | 94      | 
 | 198   | 19844.22  | 70897.31   | 27.781267095331     | 100         | 100            | 100           | 94      | 
 | 199   | 19854.64  | 70871.55   | 27.7841373140395    | 100         | 100            | 100           | 94      | 
 | 200   | 19865.05  | 70845.8    | 27.7841373140395    | 99.5        | 100            | 99            | 94      | 
 | 201   | 19875.81  | 70820.19   | 27.7779164840626    | 99.5        | 99             | 100           | 94      | 
 | 202   | 19886.69  | 70794.63   | 27.7819097073712    | 100         | 100            | 100           | 94      | 
 | 203   | 19897.53  | 70769.05   | 27.7787332328084    | 100         | 100            | 100           | 94      | 
 | 204   | 19908.37  | 70743.47   | 27.7787332328084    | 99.5        | 100            | 99            | 94      | 
 | 205   | 19919     | 70717.8    | 27.7809987180178    | 99          | 99             | 99            | 94      | 
 | 206   | 19929.63  | 70692.14   | 27.779503337246     | 99          | 99             | 99            | 94      | 
 | 207   | 19940.27  | 70666.48   | 27.779503337246     | 99          | 99             | 99            | 94      | 
 | 208   | 19951.16  | 70640.92   | 27.7785486682311    | 99          | 99             | 99            | 93      | 
 | 209   | 19962.32  | 70615.48   | 27.7771831406419    | 99.5        | 99             | 100           | 93      | 
 | 210   | 19973.47  | 70590.04   | 27.7843377679119    | 99.5        | 100            | 99            | 93      | 
 | 211   | 19984.83  | 70564.69   | 27.780156975475     | 99          | 99             | 99            | 93      | 
 | 212   | 19996.17  | 70539.33   | 27.7785108350878    | 99.5        | 99             | 100           | 93      | 
 | 213   | 20007.51  | 70513.97   | 27.7777137179166    | 99.5        | 100            | 99            | 93      | 
 | 214   | 20018.82  | 70488.59   | 27.783222896522     | 99.5        | 99             | 100           | 93      | 
 | 215   | 20030.49  | 70463.38   | 27.7817212505729    | 100         | 100            | 100           | 93      | 
 | 216   | 20042.17  | 70438.17   | 27.7825418693277    | 99.5        | 100            | 99            | 93      | 
 | 217   | 20053.93  | 70413      | 27.7825385053415    | 99          | 99             | 99            | 93      | 
 | 218   | 20065.34  | 70387.67   | 27.7827991100897    | 99          | 99             | 99            | 93      | 
 | 219   | 20076.76  | 70362.34   | 27.7836018479737    | 99.5        | 99             | 100           | 93      | 
 | 220   | 20089.01  | 70337.41   | 27.7803898647077    | 100         | 100            | 100           | 92      | 
 | 221   | 20102.47  | 70313.1    | 27.7833524408334    | 99.5        | 100            | 99            | 91      | 
 | 222   | 20115.93  | 70288.8    | 27.7842987756281    | 99.5        | 99             | 100           | 91      | 
 | 223   | 20130.07  | 70264.88   | 27.7820024592277    | 99.5        | 100            | 99            | 91      | 
 | 224   | 20144.53  | 70241.16   | 27.7804662810618    | 99.5        | 99             | 100           | 91      | 
