Sort by Speed (avg)
 | No    | X          | Y         | Distance            | Speed (avg) | Speed (before) | Speed (after) | Heading | 
 | 16    | 1676.145   | -51171.53 | 3.34920274807645    | 12          | 11             | 13            | 29      | 
 | 9     | 1712.193   | -51168.75 | 3.77585949184271    | 12.5        | 14             | 11            | 14      | 
 | 7     | 1717.974   | -51163.94 | 3.9670313639526     | 13          | 12             | 14            | 12      | 
 | 3705  | 4045.45    | 3873.698  | 2.08508972199047    | 13.5        | 21             | 6             | 37      | 
 | 8     | 1715.07    | -51166.31 | 3.74974286668087    | 14          | 14             | 14            | 14      | 
 | 11996 | 18678.6    | 70680.35  | 4.12997044587356    | 14          | 10             | 18            | 97      | 
 | 10    | 1709.238   | -51171.5  | 4.03093935819394    | 14.5        | 11             | 18            | 13      | 
 | 11920 | 18425.42   | 70816.05  | 4.48797356702123    | 14.5        | 13             | 16            | 60      | 
 | 15    | 1679.384   | -51172.38 | 3.97632357023821    | 15.5        | 20             | 11            | 31      | 
 | 17    | 1672.171   | -51171.13 | 3.99368004603304    | 15.5        | 13             | 18            | 27      | 
 | 12000 | 18675.82   | 70660.6   | 5.18613535384946    | 15.5        | 18             | 13            | 4       | 
 | 10029 | 127.0236   | 38326.3   | 4.23774138723304    | 16          | 27             | 5             | 48      | 
 | 10678 | 7708.366   | 50780.22  | 4.43965894269831    | 16          | 16             | 16            | 65      | 
 | 9212  | 2347.181   | 21127.78  | 5.07254045789931    | 16.5        | 13             | 20            | 57      | 
 | 10036 | 125.9157   | 38335.05  | 5.29818634401545    | 16.5        | 13             | 20            | 48      | 
 | 3713  | 4040.337   | 3879.535  | 3.35632618794552    | 17          | 15             | 19            | 39      | 
 | 11998 | 18678.19   | 70670.47  | 4.57418372371303    | 17          | 17             | 17            | 1       | 
 | 11997 | 18678.62   | 70675.02  | 5.32816079762535    | 17.5        | 18             | 17            | 100     | 
 | 11999 | 18677.2    | 70665.6   | 4.96767850634797    | 17.5        | 17             | 18            | 3       | 
 | 3715  | 4031.5     | 3889.636  | 4.85702528981565    | 19          | 20             | 18            | 38      | 
 | 11921 | 18428.31   | 70820.29  | 5.13010989125359    | 19          | 16             | 22            | 59      | 
 | 11    | 1704.42    | -51174.34 | 5.59286360004393    | 19.5        | 18             | 21            | 17      | 
 | 3714  | 4034.726   | 3886.006  | 8.56505468989636    | 19.5        | 19             | 20            | 39      | 
 | 3716  | 4027.893   | 3893.512  | 5.29496807330109    | 19.5        | 18             | 21            | 38      | 
 | 10679 | 7712.98    | 50783.41  | 5.61078919246838    | 19.5        | 16             | 23            | 65      | 
 | 9305  | 3206.298   | 22715.19  | 5.43000057058876    | 20          | 21             | 19            | 51      | 
 | 9205  | 2341.669   | 21116.7   | 6.02246378785201    | 21          | 21             | 21            | 57      | 
 | 9213  | 2349.917   | 21133.15  | 6.02924380759465    | 21.5        | 20             | 23            | 58      | 
 | 9306  | 3206.893   | 22721.24  | 6.08193013150653    | 21.5        | 19             | 24            | 52      | 
 | 10037 | 125.3461   | 38340.91  | 5.88310965430613    | 21.5        | 20             | 23            | 48      | 
 | 18    | 1665.31    | -51172.28 | 6.9566556056978     | 22.5        | 18             | 27            | 22      | 
 | 12    | 1698.268   | -51176.31 | 6.46027835980118    | 23.5        | 21             | 26            | 21      | 
 | 11922 | 18432.38   | 70826.61  | 7.52179856239724    | 23.5        | 22             | 25            | 59      | 
 | 3717  | 4023.13    | 3898.342  | 6.78258715687822    | 24          | 21             | 27            | 38      | 
 | 9204  | 2339.035   | 21111.28  | 6.54520369434962    | 24          | 27             | 21            | 57      | 
 | 14    | 1683.085   | -51173.83 | 7.5199241832769     | 25.5        | 31             | 20            | 31      | 
 | 10485 | 6219.237   | 47612.22  | 7.11042232973321    | 25.5        | 26             | 25            | 56      | 
 | 9214  | 2353.2     | 21139.5   | 7.14659120240583    | 26          | 23             | 29            | 58      | 
 | 10038 | 124.6714   | 38348.3   | 7.42524742591514    | 26          | 23             | 29            | 49      | 
 | 11909 | 19116.36   | 70506.49  | 6.89229447604579    | 26          | 32             | 20            | 6       | 
 | 10680 | 7719.184   | 50787.62  | 7.49340226525484    | 26.5        | 23             | 30            | 66      | 
 | 11923 | 18436.19   | 70832.94  | 7.38583457492544    | 26.5        | 25             | 28            | 59      | 
 | 9307  | 3207.778   | 22728.62  | 7.43372903721793    | 27          | 24             | 30            | 52      | 
 | 10677 | 7704.74    | 50777.66  | 6.58520098241198    | 27          | 38             | 16            | 65      | 
 | 9304  | 3205.857   | 22709.77  | 7.89940591718103    | 27.5        | 34             | 21            | 51      | 
 | 10486 | 6221.85    | 47619.26  | 7.50850449627007    | 27.5        | 25             | 30            | 56      | 
 | 3718  | 4017.451   | 3903.684  | 7.79716350885483    | 28          | 27             | 29            | 37      | 
 | 13    | 1690.172   | -51176.35 | 8.09652977784973    | 28.5        | 26             | 31            | 27      | 
 | 19    | 1657.109   | -51174.21 | 8.42442289252061    | 28.5        | 27             | 30            | 22      | 
 | 11992 | 18675.12   | 70688.49  | 7.84043467698522    | 28.5        | 46             | 11            | 84      | 
 | 20    | 1648.898   | -51174.06 | 8.21233149291034    | 30          | 30             | 30            | 27      | 
 | 9215  | 2357.249   | 21147.15  | 8.65721781859841    | 30          | 29             | 31            | 58      | 
 | 21    | 1641.784   | -51168.75 | 8.87873002031396    | 30.5        | 30             | 31            | 39      | 
 | 22    | 1638.719   | -51160.72 | 8.59634150964744    | 31          | 31             | 31            | 45      | 
 | 11924 | 18440.63   | 70840.63  | 8.87534406827827    | 31          | 28             | 34            | 58      | 
 | 3719  | 4010.666   | 3909.542  | 8.96398371807638    | 31.5        | 29             | 34            | 36      | 
 | 11081 | 15404.18   | 56228.32  | 9.28929431776812    | 32          | 32             | 32            | 57      | 
 | 10039 | 123.8076   | 38357.55  | 9.2902477495198     | 32.5        | 29             | 36            | 49      | 
 | 10484 | 6216.675   | 47605.59  | 8.73561637396003    | 32.5        | 39             | 26            | 56      | 
 | 9216  | 2361.742   | 21155.2   | 9.22168326829742    | 33          | 31             | 35            | 58      | 
