Number of total tracking : 31336
Total Time taken : 12:51:49

 | No    | X         | Y          | Heading | Speed | Damage | Date and Time         | 
 | 251   | 137045.4  | 79768.42   | 29      | 94    | 0      | 12/5/2020 7:45:08 PM  | 
 | 253   | 136990.6  | 79778.34   | 28      | 97    | 0      | 12/5/2020 7:45:10 PM  | 
 | 255   | 136944.7  | 79785.33   | 27      | 96    | 0      | 12/5/2020 7:45:12 PM  | 
 | 257   | 136891.1  | 79795.73   | 28      | 97    | 0      | 12/5/2020 7:45:14 PM  | 
 | 259   | 136838.3  | 79805.33   | 28      | 97    | 0      | 12/5/2020 7:45:16 PM  | 
 | 261   | 136786.3  | 79814.34   | 28      | 97    | 0      | 12/5/2020 7:45:18 PM  | 
 | 263   | 136732.2  | 79825.45   | 29      | 97    | 0      | 12/5/2020 7:45:20 PM  | 
 | 265   | 136679.6  | 79844.56   | 32      | 97    | 0      | 12/5/2020 7:45:23 PM  | 
 | 267   | 136632.6  | 79869.63   | 33      | 97    | 0      | 12/5/2020 7:45:24 PM  | 
 | 269   | 136585.7  | 79897.63   | 34      | 97    | 0      | 12/5/2020 7:45:26 PM  | 
 | 271   | 136539.3  | 79922.55   | 32      | 97    | 0      | 12/5/2020 7:45:28 PM  | 
 | 273   | 136487.5  | 79942.64   | 30      | 97    | 0      | 12/5/2020 7:45:30 PM  | 
 | 275   | 136434.6  | 79957.81   | 29      | 97    | 0      | 12/5/2020 7:45:33 PM  | 
 | 277   | 136382.7  | 79970.02   | 29      | 97    | 0      | 12/5/2020 7:45:34 PM  | 
 | 279   | 136328.6  | 79982.33   | 29      | 97    | 0      | 12/5/2020 7:45:37 PM  | 
 | 281   | 136279.4  | 79994.02   | 29      | 97    | 0      | 12/5/2020 7:45:39 PM  | 
 | 283   | 136225.6  | 80013.59   | 32      | 97    | 0      | 12/5/2020 7:45:41 PM  | 
 | 285   | 136177.8  | 80038.02   | 32      | 97    | 0      | 12/5/2020 7:45:42 PM  | 
 | 287   | 136128.8  | 80062.27   | 32      | 97    | 0      | 12/5/2020 7:45:45 PM  | 
 | 289   | 136079.6  | 80083.88   | 31      | 97    | 0      | 12/5/2020 7:45:47 PM  | 
 | 291   | 136030.7  | 80102.74   | 30      | 97    | 0      | 12/5/2020 7:45:49 PM  | 
 | 293   | 135975.3  | 80115.42   | 27      | 97    | 0      | 12/5/2020 7:45:51 PM  | 
 | 295   | 135924.4  | 80118.22   | 25      | 97    | 0      | 12/5/2020 7:45:52 PM  | 
 | 297   | 135867.5  | 80119.23   | 26      | 97    | 0      | 12/5/2020 7:45:55 PM  | 
 | 299   | 135813.9  | 80123.38   | 27      | 97    | 0      | 12/5/2020 7:45:57 PM  | 
 | 301   | 135760.5  | 80132.26   | 28      | 97    | 0      | 12/5/2020 7:45:59 PM  | 
 | 303   | 135708.5  | 80145.5    | 30      | 97    | 0      | 12/5/2020 7:46:01 PM  | 
 | 305   | 135657.2  | 80164.5    | 31      | 97    | 0      | 12/5/2020 7:46:03 PM  | 
 | 307   | 135617.2  | 80183.27   | 33      | 97    | 0      | 12/5/2020 7:46:05 PM  | 
 | 309   | 135561.6  | 80213.47   | 33      | 97    | 0      | 12/5/2020 7:46:07 PM  | 
 | 311   | 135513.4  | 80239.21   | 33      | 97    | 0      | 12/5/2020 7:46:09 PM  | 
 | 313   | 135465.4  | 80264.44   | 33      | 97    | 0      | 12/5/2020 7:46:11 PM  | 
 | 315   | 135417.1  | 80290.82   | 33      | 97    | 0      | 12/5/2020 7:46:13 PM  | 
 | 317   | 135368.6  | 80316.98   | 33      | 97    | 0      | 12/5/2020 7:46:15 PM  | 
 | 319   | 135320.6  | 80342.26   | 33      | 97    | 0      | 12/5/2020 7:46:17 PM  | 
 | 321   | 135273.1  | 80367.37   | 33      | 97    | 0      | 12/5/2020 7:46:19 PM  | 
 | 323   | 135224.4  | 80393.11   | 33      | 97    | 0      | 12/5/2020 7:46:21 PM  | 
 | 325   | 135177.4  | 80418.26   | 33      | 97    | 0      | 12/5/2020 7:46:23 PM  | 
 | 327   | 135128.3  | 80444.2    | 33      | 97    | 0      | 12/5/2020 7:46:25 PM  | 
 | 329   | 135079.6  | 80466.8    | 31      | 97    | 0      | 12/5/2020 7:46:27 PM  | 
 | 331   | 135029.3  | 80484.27   | 29      | 97    | 0      | 12/5/2020 7:46:29 PM  | 
 | 333   | 134975.7  | 80494.74   | 27      | 97    | 0      | 12/5/2020 7:46:31 PM  | 
 | 335   | 134920.7  | 80498.06   | 25      | 97    | 0      | 12/5/2020 7:46:33 PM  | 
 | 337   | 134868    | 80494.91   | 23      | 97    | 0      | 12/5/2020 7:46:35 PM  | 
 | 339   | 134825.4  | 80485.13   | 18      | 62    | 0      | 12/5/2020 7:46:37 PM  | 
 | 341   | 134804.9  | 80457.21   | 6       | 60    | 0      | 12/5/2020 7:46:39 PM  | 
 | 343   | 134793.9  | 80428.46   | 7       | 54    | 0      | 12/5/2020 7:46:41 PM  | 
 | 345   | 134778.2  | 80415.78   | 21      | 26    | 0      | 12/5/2020 7:46:43 PM  | 
